nctId,conditions,classification
NCT06871410,"Recurrent Acute Myeloid Leukemia, Refractory Acute Myeloid Leukemia",blood cancer
NCT03682744,"Peritoneal Carcinomatosis, Peritoneal Metastases, Colorectal Cancer, Gastric Cancer, Breast Cancer, Pancreas Cancer, Carcinoembryonic Antigen",solid tumor
NCT06673381,Acute Coronary Syndrome,others
NCT03916679,Ovarian Cancer,solid tumor
NCT05907603,"Neoplasms, Hematologic Neoplasms, Hematologic Diseases",blood cancer
NCT06337474,Thrombocytopenia Alloimmune,others
NCT03585517,AML,others
NCT03799913,Ovarian Cancer,solid tumor
NCT04094766,"Refractory B Acute Lymphoblastic Leukemia, Relapse B Acute Lymphoblastic Leukemia",blood cancer
NCT05277987,CAR T-Cell Therapy,others
NCT06681337,Lupus Nephritis,others
NCT03824964,Refractory B-Cell Lymphoma,blood cancer
NCT06522932,Non Hodgkin Lymphoma,blood cancer
NCT04268706,"Hodgkin Lymphoma, Adult, Hodgkin Disease Recurrent, Hodgkin Disease Refractory, Hodgkin Disease, Pediatric",blood cancer
NCT05988216,Systemic Lupus Erythematosus (SLE),others
NCT05430945,"Relapse Multiple Myeloma, Refractory Multiple Myeloma",blood cancer
NCT06064903,T-Cell Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma,blood cancer
NCT05583201,"Gastric Cancer, Pancreatic Cancer, Solid Tumor",solid tumor
NCT05929716,"Large B-cell Lymphoma, B-cell Lymphoma",blood cancer
NCT06885697,"Mesothelioma, Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Ovarian Neoplasms, Lung Neoplasms, Thymus Neoplasms, Colonic Neoplasms",others
NCT04889716,"Large B-cell Lymphoma, DLBCL - Diffuse Large B Cell Lymphoma",blood cancer
NCT06870279,Advanced Clear Cell Renal Cell Carcinoma,solid tumor
NCT06043466,"Colorectal Cancer, Esophagus Cancer, Gastric Cancer, Pancreas Cancer, Non-small Cell Lung Cancer, Breast Cancer, Bile Duct Cancer",solid tumor
NCT06508775,"Melanoma Stage III, B-cell Non Hodgkin Lymphoma, Pediatric ALL, Childhood Non-Hodgkin Lymphoma, Acute Lymphatic Leukemia, Chronic Lymphatic Leukemia, Melanoma Stage IV",blood cancer
NCT05926726,Hepatocellular Carcinoma,solid tumor
NCT06610344,Large B-cell Lymphoma,blood cancer
NCT04119024,"Metastatic Malignant Solid Neoplasm, Metastatic Melanoma, Pathologic Stage IIIC Cutaneous Melanoma AJCC v8, Pathologic Stage IV Cutaneous Melanoma AJCC v8, Recurrent Malignant Solid Neoplasm, Refractory Malignant Solid Neoplasm, Uveal Melanoma, Acral Melanoma, Neuroendocrine Tumors, Paraganglioma, Pheochromocytoma, Adrenocortical Carcinoma, Pancreatic Neuroendocrine Tumor, Thyroid Cancer, Breast Cancer, Lung Adenocarcinoma, Head and Neck Squamous Cell Carcinoma",solid tumor
NCT04093648,"Hepatocellular Carcinoma, Hepatoblastoma",solid tumor
NCT05716113,"Neoplasms, Hematologic Neoplasms, Neoplasms by Site, Hematologic Diseases",blood cancer
NCT05105867,"Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia, Relapsed or Refractory B-cell Non-hodgkin Lymphoma",blood cancer
NCT05117138,"Melanoma, Non-small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma",solid tumor
NCT06106893,Systemic Lupus Erythematosus,others
NCT05060796,Non Small Cell Lung Cancer,solid tumor
NCT02208362,"Recurrent Glioblastoma, Recurrent Malignant Glioma, Recurrent WHO Grade II Glioma, Recurrent WHO Grade III Glioma, Refractory Glioblastoma, Refractory Malignant Glioma, Refractory WHO Grade II Glioma, Refractory WHO Grade III Glioma",solid tumor
NCT06635330,Relapse/Refractory B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT06703216,"B-Acute Lymphoblastic Leukemia, CAR-T Cell Therapy, Cytokine Release Syndrome, Immune Effector Cell Associated Neurotoxicity Syndrome, Immune Effector Cell Associated Hemophagocytic Lymphohistiocytosis-like Syndrome",blood cancer
NCT02194374,Leukemia,blood cancer
NCT05381662,Acute Lymphoblastic Leukemia in Remission,blood cancer
NCT06553898,"Multi-Drug Resistant Nephrotic Syndrome, CAR-T Cell Therapy",others
NCT06408194,"Leukemia, Acute Lymphoblastic Leukemia",blood cancer
NCT06663046,"Multiple Myleoma, Refractory and Relapsed Multiple Myeloma",blood cancer
NCT06271057,"Diffuse Large B-cell Lymphoma Refractory, Refractory Primary Mediastinal Large B-Cell Lymphoma, Refractory Transformed B-cell Non-Hodgkin Lymphoma, Refractory High Grade B-Cell Lymphoma",blood cancer
NCT06247501,"Very High Risk Acute Lymphoblastic Leukemia, CD19 CAR-T Therapy",blood cancer
NCT03932565,Nectin4-positive Advanced Malignant Solid Tumor,solid tumor
NCT04670055,"Relapse Multiple Myeloma, Refractory Multiple Myeloma",blood cancer
NCT04484012,"Recurrent Mantle Cell Lymphoma, Refractory Mantle Cell Lymphoma",blood cancer
NCT06849921,"Precise Design of Cell Therapy for Relapsed and Refractory Hematological Tumors, Hematologic Disease",blood cancer
NCT04318327,Multiple Myeloma,blood cancer
NCT06652243,Hepatocellular Carcinoma (HCC),solid tumor
NCT06730256,"Relapsed/Refractory Plasma Cell Leukemia, Relapsed/Refractory Multiple Myeloma",blood cancer
NCT03473496,Relapsed/Refractory Multiple Myeloma(MM),blood cancer
NCT04823091,"T-Cell Lymphocytic Leukemia, T-Cell Chronic Lymphocytic Leukemia, T Cell Non-Hodgkin Lymphoma",blood cancer
NCT05740891,Multiple Myeloma,blood cancer
NCT04595162,B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT04814004,"Acute Lymphoblastic Leukemia, B-cell Lymphoma, Chronic Lymphocytic Leukemia",blood cancer
NCT04048434,"Cytokine Release Syndrome, CAR-T",others
NCT05909059,"Non-hodgkin Lymphoma,B Cell, Multiple Myeloma, Acute Lymphoblastic Leukemia, Adult",blood cancer
NCT05905328,Cytokine Release Syndrome,others
NCT02456350,"Chronic Lymphocytic Leukemia, Acute Lymphocytic Leukemia, Lymphoma",blood cancer
NCT04008524,Relapsed and Refractory Hematological Malignancies,blood cancer
NCT05995028,"T-cell Acute Lymphoblastic Leukemia, T-cell Acute Lymphoblastic Lymphoma, Acute Myeloid Leukemia, NK Cell Lymphoma",blood cancer
NCT03984968,"Acute Lymphoblastic Leukemia, Adult B-Cell",blood cancer
NCT05150522,"Multiple Myeloma, Relapse Multiple Myeloma, Refractory Multiple Myeloma",blood cancer
NCT04691349,"CAR-T, Child, Only, Malignant Tumor",solid tumor
NCT04237428,Non Hodgkin Lymphoma,blood cancer
NCT04545762,"Refractory Non-Hodgkin Lymphoma, Burkitt Lymphoma, Mantle Cell Lymphoma, Follicular Lymphoma, Lymphoplasmacytic Lymphoma, Primary Mediastinal Large B Cell Lymphoma, Diffuse Large B Cell Lymphoma, Small Lymphocytic Lymphoma, Transformed Lymphoma",blood cancer
NCT03182803,Advanced Solid Tumor,solid tumor
NCT03142646,Leukemia,blood cancer
NCT06581640,"Multiple Myeloma, Relapsed/Refractory",blood cancer
NCT06479356,"Non-Hodgkin Lymphoma, Large B-cell Lymphoma",blood cancer
NCT04215016,Relapsed or Refractory DLBCL Patients With Either CD19 or CD20 Positive,others
NCT03778346,RRMM,others
NCT05571540,"B-cell Acute Lymphoblastic Leukemia, B-ALL",blood cancer
NCT05442515,"B-NHL, B-Non Hodgkin Lymphoma, Acute Lymphocytic Leukemia, Acute Lymphoblastic Leukemia, B-precursor ALL, B-All, Lymphoma, Non-Hodgkin, Leukemia, Lymphocytic, B Cell, B-Cell Lymphoma, B-Cell Leukemia, Acute Lymphoid Leukemia",blood cancer
NCT03556982,"Leukemia, Myeloid, Acute",blood cancer
NCT05255354,"Follicular Lymphoma, Diffuse Large B Cell Lymphoma, Mantle Cell Lymphoma",blood cancer
NCT06223646,Multiple Myeloma,blood cancer
NCT04666168,Non-hodgkin's Lymphoma,blood cancer
NCT03980691,HIV/AIDS,others
NCT05705570,"Acute Lymphoblastic Leukemia, in Relapse, Acute Lymphoblastic Leukemia Refractory, B-cell Lymphoma Recurrent, B-cell Lymphoma Refractory, Chronic Lymphocytic Leukemia Recurrent, Chronic Lymphocytic Leukemia Refractory",blood cancer
NCT05893693,"Relapsed and/or Refractory Multiple Myeloma, Plasma Cell Leukemia in Relapse",blood cancer
NCT03585764,"Ovarian Cancer, Fallopian Tube Cancer, Primary Peritoneal Carcinoma",solid tumor
NCT06482684,Mantle Cell Lymphoma,blood cancer
NCT03173417,Leukemia,blood cancer
NCT02229370,Extracranial Carotid Artery Aneurysm,others
NCT04653649,"Hodgkin Lymphoma, Adult, T Cell Lymphoma",blood cancer
NCT06698744,"Multiple Myeloma, Multiple Myeloma in Relapse, Multiple Myeloma, Refractory",blood cancer
NCT05995015,B Cell Malignancies,others
NCT06343376,"Recurrent Chronic Lymphocytic Leukemia, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent Follicular Lymphoma, Recurrent High Grade B-Cell Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Transformed Chronic Lymphocytic Leukemia, Recurrent Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma, Refractory Chronic Lymphocytic Leukemia, Refractory Diffuse Large B-Cell Lymphoma, Refractory Follicular Lymphoma, Refractory High Grade B-Cell Lymphoma, Refractory Mantle Cell Lymphoma, Refractory Transformed Chronic Lymphocytic Leukemia, Refractory Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma",blood cancer
NCT04429451,PSMA Positive Tumors or Tumor Tissues,solid tumor
NCT03544021,"Leukemia, Lymphocytic, Acute",blood cancer
NCT04377932,"Liver Cancer, Rhabdomyosarcoma, Malignant Rhabdoid Tumor, Liposarcoma, Wilms Tumor, Yolk Sac Tumor",solid tumor
NCT03768310,"Non-hodgkin Lymphoma, Acute Lymphoblastic Leukemia",blood cancer
NCT05096234,Non-Hodgkin's Lymphoma,blood cancer
NCT03436771,"Non Hodgkin Lymphoma, Multiple Myeloma, Chronic Lymphocytic Leukemia, Diffuse Large B Cell Lymphoma, Mantle Cell Lymphoma, Follicular Lymphoma",blood cancer
NCT05922930,"Pancreatic Cancer, Ovarian Cancer, Adenocarcinoma",solid tumor
NCT05353530,"Glioblastoma Multiforme, Glioblastoma",solid tumor
NCT05702853,"B-cell Non Hodgkin Lymphoma, Chronic Lymphocytic Leukemia",blood cancer
NCT05117008,"Refractory Multiple Myeloma, Relapse Multiple Myeloma",blood cancer
NCT06212154,"Autoimmune Hemolytic Anemia, CD19 CAR-T Cell Infusion",others
NCT04556266,"Leukemia, Lymphoma, Lymphoma, B-Cell",blood cancer
NCT03642626,"Acute Lymphoblastic Leukemia, Large B-cell Lymphoma",blood cancer
NCT05860036,Multiple Myeloma,blood cancer
NCT03937544,"Relapsed B Acute Lymphoblastic Leukaemia, Refractory B Acute Lymphoblastic Leukaemia",blood cancer
NCT05103631,"Liver Cell Carcinoma, Solid Tumor, Wilms Tumor, Malignant Rhabdoid Tumor, Yolk Sac Tumor, Rhabdomyosarcoma, Liposarcoma, Embryonal Sarcoma of the Liver",solid tumor
NCT04690595,Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia,blood cancer
NCT04577326,Malignant Pleural Mesothelioma (MPM),others
NCT06633042,Autoimmune Disease,others
NCT05623488,Breast Cancer,solid tumor
NCT04148430,"B Cell ALL, B-Cell Lymphoma, B-cell Non Hodgkin Lymphoma",blood cancer
NCT06786533,Relapsed/refractory Acute Myeloid Leukemia (R/R AML),blood cancer
NCT05239676,Lymphoma,blood cancer
NCT05828225,Myasthenia Gravis,others
NCT06562647,"Treatment Related Cancer, Ovarian Cancer",solid tumor
NCT05984199,"Leukemia, Myeloid, Acute",blood cancer
NCT03473457,Relapsed/Refractory Acute Myeloid Leukemia(AML),blood cancer
NCT05007379,Breast Cancer,solid tumor
NCT06392763,"Diffuse Large B-cell Lymphoma, Acute Lymphoblastic Leukemia (ALL)",blood cancer
NCT03710421,"Recurrent Plasma Cell Myeloma, Refractory Plasma Cell Myeloma",blood cancer
NCT06519565,Immune Thrombocytopenia,others
NCT05143151,Advanced Pancreatic Carcinoma,solid tumor
NCT05826288,Leukemia,blood cancer
NCT03528421,Non Hodgkin Lymphoma,blood cancer
NCT06017258,"Refractory Acute Myeloid Leukemia, Relapsed Acute Myeloid Leukemia, Acute Myeloid Leukemia, Acute Myeloid Leukemia, in Relapse, Acute Myeloid Leukemia Refractory",blood cancer
NCT04209829,Hematologic Diseases,blood cancer
NCT06895811,"Metastatic Prostate Cancer, Castration-resistant Prostate Cancer, Metastatic Castration-resistant Prostate Cancer",solid tumor
NCT05698303,Multiple Myeloma,blood cancer
NCT03288493,Multiple Myeloma,blood cancer
NCT05237986,"Lymphoma, Leukemia",blood cancer
NCT06149169,"Lymphoma, Non-Hodgkin, Diffuse Large B Cell Lymphoma",blood cancer
NCT04410900,B-Cell Neoplasm,others
NCT05412329,Multiple Myeloma,blood cancer
NCT03989011,"Abdominal Aortic Aneurysm, Cardiovascular Events",others
NCT05826535,"Relapsed Non-Hodgkin Lymphoma, Refractory Non-Hodgkin Lymphoma",blood cancer
NCT06557265,"Lupus Nephritis, Glomerulonephritis",others
NCT04847466,"Gastroesophageal Junction (GEJ) Cancers, Advanced HNSCC",solid tumor
NCT03281551,"B-cell Acute Lymphoblastic Leukemia, B-cell Lymphoma",blood cancer
NCT05274451,"Triple Negative Breast Cancer, TNBC - Triple-Negative Breast Cancer, Non-small Cell Lung Cancer, Non Small Cell Lung Cancer, Non Small Cell Lung Cancer Metastatic, Non-Small Cell Carcinoma of Lung, TNM Stage 4, Advanced Breast Cancer, Advanced Lung Carcinoma, NSCLC, NSCLC, Recurrent, NSCLC Stage IV, Relapsed Cancer, Relapse/Recurrence, Recurrent Breast Cancer, Recurrent NSCLC, Platinum-resistant Ovarian Cancer, Ovarian Cancer, Primary Peritoneal Carcinoma, Fallopian Tube Cancer, Endometrial Cancer, Endometrioid Tumor, High Grade Serous Carcinoma, Ovarian Epithelial Cancer",solid tumor
NCT06892145,"Systemic Lupus Erythematosus (SLE), Refractory",others
NCT04473937,"Hematologic Malignancy, Refractory Lymphoma",blood cancer
NCT04785833,T-ALL,others
NCT04340154,"Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoid Leukemia",blood cancer
NCT04732845,"Non Hodgkin Lymphoma, Acute Lymphoblastic Leukemia, Chronic Lymphocytic Leukemia",blood cancer
NCT05789303,"Multiple Myeloma, Relapse Multiple Myeloma",blood cancer
NCT06518876,POEMS Syndrome,others
NCT06784167,"Chronic Lymphocytic Leukemia, Diffuse Large B-Cell Lymphoma, Follicular Lymphoma, Mantle Cell Lymphoma, Multiple Myeloma, Primary Mediastinal Large B-Cell Lymphoma, Small Lymphocytic Lymphoma",blood cancer
NCT04571138,"Leukemia, Lymphoma",blood cancer
NCT03818165,Metastatic Pancreatic Carcinoma,solid tumor
NCT01865617,"CD19-Positive Neoplastic Cells Present, Recurrent Adult Acute Lymphoblastic Leukemia, Recurrent Chronic Lymphocytic Leukemia, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Non-Hodgkin Lymphoma, Recurrent Small Lymphocytic Lymphoma, Refractory Acute Lymphoblastic Leukemia, Refractory Chronic Lymphocytic Leukemia, Refractory Diffuse Large B-Cell Lymphoma, Refractory Mantle Cell Lymphoma, Refractory Non-Hodgkin Lymphoma, Refractory Small Lymphocytic Lymphoma",blood cancer
NCT06902896,"Dilated Cardiomyopathy (DCM), Heart Failure",others
NCT05239702,"Crohn Disease, Ulcerative Colitis, Dermatomyositis, Still Disease, Autoimmune Diseases",others
NCT05802693,Recurrent Glioblastoma,solid tumor
NCT04599556,"CD7+ Acute Leukemia, CD7+ Lymphoma",blood cancer
NCT06475495,Rheumatoid Arthritis,others
NCT05064787,"Lymphoma, Lymphoma, B-Cell, Leukemia, Multiple Myeloma, Mantle Cell Lymphoma, Follicular Lymphoma, Leukemia, Acute Lymphoblastic",blood cancer
NCT05588440,Relapsed/Refractory Aggressive B-Cell Malignancies,others
NCT06682793,"Solid Tumor, Adult, Colorectal Cancer, Non-Small Cell Lung, NSCLC (Non-small Cell Lung Cancer), Cancer, Colon Cancer, Rectal Cancer, Lung Cancer, CRC, Head and Neck Squamous Cell Cancer, HNSCC, Renal Cell Carcinoma, RCC, Kidney Cancer, Triple Negative Breast Cancer, TNBC, Colorectal Adenocarcinoma",solid tumor
NCT03383965,"Hodgkin Lymphoma, Anaplastic Large Cell Lymphoma",blood cancer
NCT05828212,Neuromyelitis Optica,others
NCT04512716,"B-ALL, DLBCL, B ALL, Dlbcl-Ci, DLBCL Unclassifiable, DLBCL, Nos Genetic Subtypes, DLBCL Activated B-Cell Type, DLBCL Germinal Center B-Cell Type, Diffuse Large B-cell Lymphoma, HGBL, HGBL, Nos",blood cancer
NCT04430530,CD19 Negative B-cell Malignancies,others
NCT05852717,"Large Cell Lymphoma, Diffuse, Relapsed Cancer, Refractory Cancer",blood cancer
NCT06052826,"B-Cell Non-Hodgkin Lymphoma, Multiple Myeloma",blood cancer
NCT02685670,"Hematopoietic/Lymphoid Cancer, Adult Acute Lymphoblastic Leukemia in Remission, B-cell Adult Acute Lymphoblastic Leukemia, B-cell Chronic Lymphocytic Leukemia, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Refractory Chronic Lymphocytic Leukemia, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Chronic Lymphocytic Leukemia, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Chronic Lymphocytic Leukemia, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma",blood cancer
NCT03958656,"Myeloma-Multiple, Myeloma, Plasma-Cell",blood cancer
NCT06358430,"Colorectal Cancer, Minimal Residual Disease",solid tumor
NCT06703892,"Diffuse Large B Cell Lymphoma Relapsed, Diffuse Large B Cell Lymphoma Refractory, Follicular Lymphoma ( FL), Burkitt's Lymphoma, Lymphoplasmacytic Lymphoma, Marginal Zone Lymphoma(MZL), Primary Mediastinal Large B-Cell Lymphoma-Refractory, Primary Mediastinal Large B-Cell Lymphoma-Recurrent, High-grade B-cell Lymphoma (HGBCL)",blood cancer
NCT04186520,"Non Hodgkin Lymphoma (NHL), Mantle Cell Lymphoma (MCL), Chronic Lymphocytic Leukemia (CLL), Follicular Lymphoma, Marginal Zone Lymphoma, Diffuse Large B Cell Lymphoma, Primary Mediastinal Large B-cell Lymphoma (PMBCL), Central Nervous System Lymphoma",blood cancer
NCT04176913,"Diffuse Large B Cell Lymphoma, Follicular Lymphoma, Mantle Cell Lymphoma, Small Lymphocytic Lymphoma",blood cancer
NCT04747093,"B Cell Leukemia, B Cell Lymphoma, B-cell Acute Lymphoblastic Leukemia, B-cell Lymphoma Recurrent, B-cell Lymphoma Refractory",blood cancer
NCT06509490,Safety Issues,others
NCT05223686,Acute Lymphoblastic Leukemia,blood cancer
NCT05979363,Plasma Cell Leukemia,blood cancer
NCT05776407,Refractory or Relapsed B Cell Lymphoma,blood cancer
NCT05003895,"Hepatocellular Carcinoma, Hepatocellular Cancer, Metastatic Hepatocellular Carcinoma",solid tumor
NCT06158139,"Pancreas Cancer, Relapse, Resistant Cancer",solid tumor
NCT04511871,"Solid Tumor, Gastric Cancer, Breast Cancer, Ovarian Cancer, Sarcoma",solid tumor
NCT00497263,"Colorectal Cancer, Diverticulitis",solid tumor
NCT01056796,Colorectal Cancer,solid tumor
NCT05269914,Diffuse Large B Cell Lymphoma,blood cancer
NCT05325801,Multiple Myeloma,blood cancer
NCT05016778,Multiple Myeloma,blood cancer
NCT05487651,"NHL, Relapsed, Adult, B-cell Lymphoma, B-cell Leukemia, DLBCL - Diffuse Large B Cell Lymphoma, ALL, Adult B Cell, ALL, Childhood, CLL/SLL",blood cancer
NCT06210243,"Lymphoma, B-Cell, CAR-T",blood cancer
NCT06058858,"Cytomegalovirus Infections, Acute Leukemia, B Cell Lymphoma",blood cancer
NCT05621096,"DLBCL - Diffuse Large B Cell Lymphoma, High-grade B-cell Lymphoma, Follicular Lymphoma, Mediastinal Large B-cell Lymphoma, Indolent B-Cell Non-Hodgkin Lymphoma, Relapsed Non-Hodgkin Lymphoma, Refractory Non-Hodgkin Lymphoma",blood cancer
NCT06249438,"Systemic Lupus Erythematosus (SLE), Immune-Mediated Necrotizing Myopathy, Neuromyelitis Optica Spectrum Disorders, Multiple Sclerosis-Relapsing-Remitting, Myasthenia Gravis",others
NCT05302037,"Cancer, Malignancy, Refractory Cancer, Relapsed Cancer",solid tumor
NCT06732492,"NK T-Cell Lymphoma, CART Therapy, CD7-positive Relapsed/Refractory Lymphoid Hematologic Malignancies",blood cancer
NCT04488354,"Relapsed/Refractory B-cell Lymphomas, Diffuse Large B-Cell Lymphoma (DLBCL), Follicular Lymphoma (FL), Chronic Lymphocytic Leukemia (CLL), Marginal Zone Lymphoma (MZL), Mantle Cell Lymphoma (MCL), Small Lymphocytic Lymphoma (SLL), Primary Mediastinal Large B Cell Lymphoma, Transformed Follicular Lymphoma, Waldenstrom Macroglobulinemia, Lymphoplasmacytic Lymphoma, Burkitt Lymphoma",blood cancer
NCT03085173,"Chronic Lymphocytic Leukemia (CLL), Relapsed, Refractory",blood cancer
NCT03598179,"Lymphoma, B-Cell, Leukemia, B-cell",blood cancer
NCT05168748,Acute Lymphoblastic Leukemia,blood cancer
NCT06794008,"Systemic Lupus Erythematosus, Inflammatory Myopathy, Systemic Sclerosis (SSc), ANCA-associated Vasculitis, IgG4-Related Diseases, Antiphospholipid Syndrome, Acquired Thrombotic Thrombocytopenic Purpura, Behcet Disease, Sjogren Syndrome",others
NCT04300998,"Lymphoma, Refractory B-Cell Lymphoma, Lymphoma, B-Cell, DLBCL NOS, High-grade B-cell Lymphoma, Multiple Myeloma",blood cancer
NCT06167785,Large B-cell Lymphoma,blood cancer
NCT05667155,B-cell Non Hodgkin Lymphoma,blood cancer
NCT03103971,"Recurrent Adult Acute Lymphoblastic Leukemia, Recurrent B-Cell Non-Hodgkin Lymphoma, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma, Refractory Adult Acute Lymphoblastic Leukemia, Refractory B-Cell Non-Hodgkin Lymphoma, Refractory Diffuse Large B-Cell Lymphoma, Refractory Primary Mediastinal (Thymic) Large B-Cell Lymphoma, Recurrent Transformed Non-Hodgkin Lymphoma, Recurrent High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements, Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements, Recurrent B Acute Lymphoblastic Leukemia, Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified, Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements, Refractory B Acute Lymphoblastic Leukemia, Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified, Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements",blood cancer
NCT04452994,Multiple Myeloma,blood cancer
NCT06544330,"Systemic Lupus Erythematosus, Lupus Nephritis, Systemic Sclerosis",others
NCT06871644,Systemic Sclerosis - 2013 ACR/EULAR Classification Criteria,others
NCT05665725,Non-Hodgkin Lymphoma,blood cancer
NCT03483688,B-cell Non-Hodgkin Lymphoma,blood cancer
NCT06813417,Sarcoma,solid tumor
NCT05638828,Solid Tumor,solid tumor
NCT06352242,Diffuse Large B Cell Lymphoma,blood cancer
NCT06379451,Multiple Myeloma,blood cancer
NCT06254807,HER2-positive,others
NCT03540303,Relapsed Non Hodgkin Lymphoma,blood cancer
NCT06552572,Diffuse Large B Cell Lymphoma,blood cancer
NCT04037241,Malignant Tumor of Pancreas Metastatic to Liver,solid tumor
NCT05864924,EBV-positive Nasopharyngeal Carcinoma,solid tumor
NCT06355739,"B Lymphocytic Leukemia, B Lymphoblastic Lymphoma",blood cancer
NCT04183426,"Abdominal Aortic Aneurysm, Cardiovascular Events",others
NCT05110742,Hematological Malignancy,blood cancer
NCT04853277,"Stem Cell Transplant, CAR T-Cell Transplant, CAR T-Cell Therapy, Cellular Therapy, Hematopoietic Stem Cell Transplant, HSCT, Multiple Myeloma, Leukemia, Lymphoma",blood cancer
NCT04007029,"CD19 Positive, CD20 Positive, Recurrent Chronic Lymphocytic Leukemia, Recurrent Diffuse Large B-Cell Lymphoma, Recurrent Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma, Recurrent Small Lymphocytic Lymphoma, Refractory Chronic Lymphocytic Leukemia, Refractory Diffuse Large B-Cell Lymphoma, Refractory Follicular Lymphoma, Refractory Mantle Cell Lymphoma, Refractory Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma, Refractory Small Lymphocytic Lymphoma",blood cancer
NCT06430736,"Myeloma, Lymphoma, Leukemia",blood cancer
NCT05613348,"B-cell Acute Lymphoblastic Leukemia, B-Cell Lymphoma, Unspecified",blood cancer
NCT04099797,"Diffuse Intrinsic Pontine Glioma, High Grade Glioma, Embryonal Tumor, Ependymal Tumor",solid tumor
NCT05768880,"Diffuse Intrinsic Pontine Glioma, Diffuse Midline Glioma, Recurrent CNS Tumor, Adult, Recurrent, CNS Tumor, Childhood, Refractory Primary Malignant Central Nervous System Neoplasm",solid tumor
NCT04219163,Acute Myeloid Leukemia,blood cancer
NCT06614686,"Nasopharynx Cancer, Head and Neck Cancer",solid tumor
NCT05736731,"Solid Tumor, Adult, Solid Tumor, Pancreatic Cancer, Pancreatic Neoplasms, Pancreas Cancer, Non Small Cell Lung Cancer, Non Small Cell Lung Cancer Recurrent, Non-Small Cell Squamous Lung Cancer, NSCLC, NSCLC, Recurrent, Colorectal Cancer, Colorectal Neoplasms, Colorectal Adenocarcinoma, CRC, Colorectal Cancer Metastatic, Cancer",solid tumor
NCT05934448,"Primary Mediastinal Large B-cell Lymphoma (PMBCL), Primary Mediastinal Large B Cell Lymphoma, Primary Mediastinal Large B-Cell Lymphoma Refractory, Primary Mediastinal Large B-Cell Lymphoma Recurrent, Epstein-Barr Virus Positive Diffuse Large B-Cell Lymphoma, T-Cell/Histiocyte-Rich Large B-Cell Lymphoma",blood cancer
NCT03720457,"CD19-positive, Diffuse Large B-cell Lymphoma, Follicular Lymphoma",blood cancer
NCT06193889,"Myasthenia Gravis, Generalized Myasthenia Gravis",others
NCT06775912,"SLE, Systemic Sclerosis, IIM, NMOSD, MS, MG, ANCA Associated Vasculitis (AAV)",others
NCT04655677,Non-Hodgkin's B-cell Lymphoma,blood cancer
NCT02905188,Hepatocellular Carcinoma,solid tumor
NCT04030195,"Non-Hodgkin's Lymphoma, Relapsed, Chronic Lymphoid Leukemia in Relapse, Non-Hodgkin's Lymphoma Refractory, Chronic Lymphocytic Leukemia, Lymphoma, Non-Hodgkin, Leukemia, Lymphocytic, Chronic, B-cell Chronic Lymphocytic Leukemia, B-cell Non Hodgkin Lymphoma, Small Lymphocytic Lymphoma",blood cancer
NCT06641024,"Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoblastic Leukemia",blood cancer
NCT03765177,"Acute Lymphoblastic Leukemia, Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia",blood cancer
